Country,Population,Capital City,Region
Romania,19064409,Bucharest,Europe
Russia,146028325,Moscow,Europe
Rwanda,13798561,Kigali,Africa
Saint Barthélemy,10562,Gustavia,Americas
Saint Helena,5651,Jamestown,Africa
Saint Kitts and Nevis,51320,Basseterre,Americas
Saint Lucia,184100,Castries,Americas
Saint Martin,31496,Marigot,Americas
Saint Pierre and Miquelon,5819,St. Pierre,Americas
Saint Vincent and the Grenadines,110872,Kingstown,Americas
Samoa,205557,Apia,Oceania
San Marino,34062,San Marino,Europe
São Tomé and Príncipe,228319,São Tomé,Africa
Saudi Arabia,35300280,Riyadh,Asia
Senegal,18126390,Dakar,Africa
Serbia,6605168,Belgrade,Europe
Seychelles,122038,Victoria,Africa
Sierra Leone,8884032,Freetown,Africa
Singapore,6036900,Singapore,Asia
Sint Maarten,41349,Philipsburg,Americas
Slovakia,5415978,Bratislava,Europe
Slovenia,2130850,Ljubljana,Europe
Solomon Islands,750325,Honiara,Oceania
Somalia,19009151,Mogadishu,Africa
South Africa,63015904,Bloemfontein,Africa
South Korea,51175725,Seoul,Asia
South Sudan,15254268,Juba,Africa
Spain,49153849,Madrid,Europe
Sri Lanka,21763170,Colombo,Asia
Sudan,50448963,Khartoum,Africa
Suriname,616500,Paramaribo,Americas
Sweden,10588818,Stockholm,Europe
Switzerland,9067144,Bern,Europe
Syria,24672760,Damascus,Asia
Taiwan,23355470,Taipei,Asia
Tajikistan,10277100,Dushanbe,Asia
Tanzania,66278276,Dodoma,Africa
Thailand,65893593,Bangkok,Asia
Timor-Leste,1373024,Dili,Asia
Togo,8095498,Lomé,Africa
Tokelau,1647,Atafu,Oceania
Tonga,100179,Nukuʻalofa,Oceania
Trinidad and Tobago,1368333,Port of Spain,Americas
Tunisia,11972169,Tunis,Africa
Turkey,85664944,Ankara,Asia
Turkmenistan,7057841,Ashgabat,Asia
Turks and Caicos Islands,50894,Cockburn Town,Americas
Tuvalu,10643,Funafuti,Oceania
U.S. Virgin Islands,87146,Charlotte Amalie,Americas
Uganda,45905417,Kampala,Africa
Ukraine,32862000,Kyiv,Europe
United Arab Emirates,10678556,Abu Dhabi,Asia
United Kingdom,68265209,London,Europe
United States,340110988,"Washington, D.C.",Americas
Uruguay,3499451,Montevideo,Americas
Uzbekistan,37697787,Tashkent,Asia
Vanuatu,321409,Port Vila,Oceania
Vatican City,882,Vatican City,Europe
Venezuela,28405543,Caracas,Americas
Vietnam,101343800,Hanoi,Asia
Wallis and Futuna,11620,Mata Utu,Oceania
Western Sahara,590506,Laayoune,Africa
Yemen,32684503,Aden,Asia
Zambia,19693423,Lusaka,Africa
Zimbabwe,16751469,Harare,Africa
